system,variant,seed,validation_mean_u_ctrl,validation_safety,best_update,elapsed_seconds,reference_source,count_trajectories,count_sampled_histories,count_actor_updates,count_critic_updates,critic_mae,critic_rmse,critic_spearman,critic_top1_agreement,critic_top5_recall,count_counterfactual_actions,count_posterior_predictive_samples,count_continuation_policy_decisions
ieee5,R0,101,0.8166666666666668,1.0,65,,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/final_dad/dad_seed_summary.csv,,,,,,,,,,,,
ieee5,R0,202,0.8333333333333335,1.0,0,,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/final_dad/dad_seed_summary.csv,,,,,,,,,,,,
ieee5,R0,303,0.8333333333333334,1.0,100,,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/final_dad/dad_seed_summary.csv,,,,,,,,,,,,
ieee5,R1,101,0.8583333333333334,1.0,70,230.97918320493773,,1560,4680,643,643,,,,,,,,
ieee5,R1,202,0.8333333333333334,1.0,60,202.28303831093945,,1440,4320,559,559,,,,,,,,
ieee5,R1,303,0.7916666666666665,1.0,50,202.97548929206096,,1320,3960,527,527,,,,,,,,
ieee5,R2,101,0.8333333333333334,1.0,80,330.38679931801744,,1680,5040,689,689,,,,,,,,
ieee5,R2,202,0.8250000000000001,1.0,70,227.1269669868052,,1560,4680,644,644,,,,,,,,
ieee5,R2,303,0.7916666666666665,1.0,60,58.1810616729781,,1440,4320,580,580,,,,,,,,
ieee5,R3,101,0.8583333333333334,1.0,50,86.35509421094321,,1320,3960,110,110,0.020296432077884674,0.02878936566412449,-0.1442069671769338,0.16666666666666666,0.16666666666666666,25479,101916,99596
ieee5,R3,202,0.8583333333333334,1.0,10,60.67111487989314,,840,2520,70,70,0.060342948883771896,0.07212627679109573,0.16224093790278435,0.0,0.0,16268,65072,69800
ieee5,R3,303,0.8583333333333334,1.0,1,58.39853175007738,,840,2520,70,70,0.04493143409490585,0.053492140024900436,0.18336099487378685,0.0,0.5,16243,64972,66820
ieee5,R4,101,0.85,1.0,1,63.12588974786922,,840,2520,70,70,0.034454844892024994,0.04627297818660736,-0.022784575454208367,0.0,0.16666666666666666,16221,64884,64220
ieee5,R4,202,0.8333333333333334,1.0,10,66.95812616706826,,840,2520,70,70,0.07941694557666779,0.09673269838094711,0.10156540777230431,0.0,0.16666666666666666,16268,65072,69800
ieee5,R4,303,0.8833333333333334,1.0,1,64.05659507378004,,840,2520,70,70,0.0416073240339756,0.05127059668302536,0.05262196090894644,0.0,0.0,16243,64972,66820
ieee5,R5,101,0.8416666666666668,1.0,20,108.67023479705676,,960,2880,80,80,0.02895229496061802,0.03606799617409706,0.0036527358440595235,0.0,0.16666666666666666,27672,110688,107216
ieee5,R5,202,0.8666666666666667,1.0,1,96.00664506293833,,840,2520,70,70,0.029414160177111626,0.040312688797712326,0.0454264879848862,0.0,0.3333333333333333,24228,96912,97232
ieee5,R5,303,0.8583333333333334,1.0,10,99.3452049989719,,840,2520,70,70,0.03704220429062843,0.05002102255821228,0.021749739569539343,0.0,0.0,24176,96704,91056
ieee9,R0,101,0.9700000000000001,1.0,25,,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee9_T3/final_dad/dad_seed_summary.csv,,,,,,,,,,,,
ieee9,R0,202,0.9633333333333333,1.0,30,,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee9_T3/final_dad/dad_seed_summary.csv,,,,,,,,,,,,
